id,name,age,department,gpa,city
1,Yazan,19,CS,3.06,Bethlehem
2,Mona,23,AI,2.9,Hebron
3,Dina,,AI,3.11,Gaza
4,Sami,23,IT,3.19,Bethlehem
5,Khaled,24,CS,2.16,Nablus
6,  ali  ,25,,2.74,Tulkarm
7,Dina,24,Business,2.48,Gaza
8,Hamza,25,CS,3.61,
9,Yazan,23,Business,2.94,Bethlehem
10,Hassan,24,Business,3.97,Ramallah
11,Zaid,,cs,2.8,  ramallah  
12,Fadi,18,AI,3.63,Bethlehem
13,Khaled,23,CS,4.8,Nablus
14,Khaled,25,,2.3,Nablus
15,Nadin,22,Business,,Tulkarm
16,Sami,22,AI,3.85_invalid,Jenin
17,Dina,25,CS,3.8,Jenin
18,Tariq,22,AI,2.6,Ramallah
19,sara ,22,AI,2.2,Bethlehem
20,Layla,23,IT,2.78,Bethlehem
21,Kareem,23,Business,3.75,Jerusalem
22,Kareem,24,AI,3.05,
23,Rami,25,AI,3.69,Bethlehem
24,Wael,22,IT,2.66,Gaza
25,Dana,20,CS,2.92,Bethlehem
26,Khaled,22,C.S.,2.55,nablus
27,Sami,24,Business,2.37,Ramallah
28,Sami,24,IT,-1.2,Bethlehem
29,Mona,23,CS,2.5,Jerusalem
30,Maya,24,CS,3.22,Jerusalem
31,Ali,22,AI,2.9,Nablus
32,Khaled,24,Business,2.29,Ramallah
33, OMAR,23,Business,3.01,Gaza
34,Tariq,25,CS,2.81,Tulkarm
35,Fadi,20,IT,2.83,Jenin
36,Mariam,24,CS,3.04,Ramallah
37,Dina,21,IT,3.47,Jerusalem
38,Salma,21,IT,3.74,Tulkarm
39,Rania,24,CS,3.89,Nablus
40,Sami,21,it,3.12,Hebron
41,Wael,22,Business,3.67,Ramallah
42,Zaid,21,Business,2.63,Ramallah
43,Nadin,23,CS,2.7,Bethlehem
44,Dina,22,AI,2.51,
45,Sami,150,CS,2.2,Hebron
46,Youssef,22,IT,3.74,Bethlehem
47,Sara,24,IT,3.63,Jerusalem
48,Ahmad,18,Business,3.26,Jerusalem
49,Ali,22,IT,3.31,Jenin
50,Fadi,22,Business,3.81,Ramallah
51,Fadi,22,IT,2.24,Tulkarm
52,Layla,23,IT,2.19,Hebron
53,Sami,twenty,CS,3.2,Jenin
54,Mariam,19,Business,2.09,Gaza
55,Sami,19,I.T.,3.2,Hebron
56,Khaled,24,IT,3.99,Gaza
57,Fadi,23,Business,3.48,Hebron
58,Khaled,21,IT,3.11,Ramallah
59,Fadi,21,CS,3.28,Jenin
60,Zaid,21,Business,2.74,Tulkarm
61,Omar,21,IT,2.84,JERUSALEM
62,Salma,21,AI,2.18,Hebron
63,lina,24,CS,3.03,Jerusalem
64,Ahmad,21,Business,2.9,Tulkarm
65,Adam,23,CS,3.45,Gaza
66,Sami,25,CS,2.98,Ramallah
67,Ahmad,21,CS,3.93,Tulkarm
68,Omar,24,IT,3.98,Bethlehem
69,Huda,20,AI,2.58,Jenin
70,Kareem,24,AI,3.4,Tulkarm
71,Sara,23,business,3.12,Nablus
72,Zaid,20,IT,2.24,Nablus
73,Sara,21,Business,2.44,Ramallah
74,Dana,21,AI,2.31,Gaza
75,Salma,22,CS,2.69,Ramallah
76,Sara,21,CS,2.6,Jerusalem
77,Zaid,21,CS,3.4,Hebron
78,Omar,19,IT,2.41,Nablus
79,Youssef,-5,AI,3.64,Ramallah
80,Omar,23,AI,2.09,
81,Youssef,23,AI,3.24,Ramallah
82,Rami,22,CS,3.1,Jerusalem
83,Huda,25,AI,2.2,Hebron
84,Adam,20,IT,2.4,Bethlehem
85,Youssef,24,A.I.,2.15,Ramallah
86,Kareem,24,AI,2.09,Nablus
87,Sami,20,CS,3.17,Jerusalem
88,Sami,18,CS,3.5,Ramallah
89,Sami,22,AI,2.14,Nablus
90,Hassan,21,CS,2.64,Ramallah
91,Mariam,25,CS,3.61,Jerusalem
92,Wael,22,Business,3.76,Tulkarm
93,Reem,23,CS,2.21,Jerusalem
94,Khaled,24,Business,3.6,Hebron
95,Dina,21,CS,3.67,Jerusalem
96,Zaid,20,Business,2.67,Bethlehem
97,Ali,22,CS,3.01,Ramallah
98,Khaled,20,IT,2.5,Jenin
99,Dana,23,Business,3.4,Gaza
100,Fadi,22,CS,2.28,Bethlehem
4,Sami,23,IT,3.19,Bethlehem
23,Rami,25,AI,3.69,Bethlehem
